infinitiv,form,example,verb,english
hinken,Präteritum 3. Pers.,Er …,hinkte,limp
hinken,Partizip II,Er hat/ist …,gehinkt,limp
hinken,Präsens 2. Pers.,Du …,hinkst,limp
hinken,Konjunktiv II 3. Pers.,Wenn er doch …,hinkte,limp
kennen,Präteritum 3. Pers.,Er …,kannte,know sb. sth.
kennen,Partizip II,Er hat/ist …,gekannt,know sb. sth.
kennen,Präsens 2. Pers.,Du …,kennst,know sb. sth.
kennen,Konjunktiv II 3. Pers.,Wenn er doch …,kennte,know sb. sth.
klimmen,Präteritum 3. Pers.,Er …,klomm,
klimmen,Partizip II,Er hat/ist …,geklommen,
klimmen,Präsens 2. Pers.,Du …,klimmst,
klimmen,Konjunktiv II 3. Pers.,Wenn er doch …,klömme,
klimmen,Präteritum 3. Pers.,Er …,klimmte,
klimmen,Partizip II,Er hat/ist …,geklimmt,
klimmen,Konjunktiv II 3. Pers.,Wenn er doch …,klimmte,
klingen,Präteritum 3. Pers.,Er …,klang,sound/ring/chime
klingen,Partizip II,Er hat/ist …,geklungen,sound/ring/chime
klingen,Präsens 2. Pers.,Du …,klingst,sound/ring/chime
klingen,Konjunktiv II 3. Pers.,Wenn er doch …,klänge,sound/ring/chime
kneifen,Präteritum 3. Pers.,Er …,kniff,pinch sb.
kneifen,Partizip II,Er hat/ist …,gekniffen,pinch sb.
kneifen,Präsens 2. Pers.,Du …,kneifst,pinch sb.
kneifen,Konjunktiv II 3. Pers.,Wenn er doch …,kniffe,pinch sb.
kommen,Präteritum 3. Pers.,Er …,kam,come
kommen,Partizip II,Er hat/ist …,gekommen,come
kommen,Präsens 2. Pers.,Du …,kommst,come
kommen,Konjunktiv II 3. Pers.,Wenn er doch …,käme,come
können,Präteritum 3. Pers.,Er …,konnte,[we they you] can
können,Partizip II,Er hat/ist …,gekonnt,[we they you] can
können,Präsens 2. Pers.,Du …,kannst,[we they you] can
können,Konjunktiv II 3. Pers.,Wenn er doch …,könnte,[we they you] can
kreischen,Präteritum 3. Pers.,Er …,kreischte,squeal
kreischen,Partizip II,Er hat/ist …,gekreischt,squeal
kreischen,Präsens 2. Pers.,Du …,kreischst,squeal
kreischen,Konjunktiv II 3. Pers.,Wenn er doch …,kreischte,squeal
kriechen,Präteritum 3. Pers.,Er …,kroch,crawl
kriechen,Partizip II,Er hat/ist …,gekrochen,crawl
kriechen,Präsens 2. Pers.,Du …,kriechst,crawl
kriechen,Konjunktiv II 3. Pers.,Wenn er doch …,kröche,crawl
laden,Präteritum 3. Pers.,Er …,lud,load/charge sth.
laden,Partizip II,Er hat/ist …,geladen,load/charge sth.
laden,Präsens 2. Pers.,Du …,lädst,load/charge sth.
